File,Number of Arguments
skipped.bril,2
ani_ex_OOO.bril,19
double.bril,5
ani_ex_complex.bril,19
sum_mul.bril,7
simple.bril,3
redundant.bril,7
redundant-dce.bril,7
reassign.bril,1
ani_ex1.bril,7
double-pass.bril,5
ani_same_const_test.bril,11
diamond.bril,2
combo.bril,5
ani_ex_multi.bril,23
reassign-dkp.bril,1
quadratic.bril,69
primes-between.bril,36
birthday.bril,37
orders.bril,58
sum-check.bril,22
palindrome.bril,53
totient.bril,43
relative-primes.bril,68
hanoi.bril,19
is-decreasing.bril,28
check-primes.bril,49
sum-sq-diff.bril,60
fitsinside.bril,20
fact.bril,15
loopfact.bril,19
recfact.bril,21
factors.bril,17
perfect.bril,29
bitshift.bril,72
digital-root.bril,31
up-arrow.bril,21
sum-divisors.bril,36
ackermann.bril,26
pythagorean_triple.bril,25
euclid.bril,50
binary-fmt.bril,17
lcm.bril,26
gcd.bril,16
catalan.bril,24
armstrong.bril,41
pascals-row.bril,34
collatz.bril,17
sum-bits.bril,17
rectangles-area-difference.bril,16
mod_inv.bril,59
reverse.bril,21
fizz-buzz.bril,48
bitwise-ops.bril,64
cholesky.bril,288
mat-inv.bril,167
dead-branch.bril,13
function_call.bril,20
ray-sphere-intersection.bril,133
conjugate-gradient.bril,237
leibniz.bril,20
n_root.bril,33
newton.bril,32
euler.bril,39
riemann.bril,85
mandelbrot.bril,145
norm.bril,94
cordic.bril,207
pow.bril,27
sqrt.bril,44
quickselect.bril,128
sieve.bril,66
bubblesort.bril,81
primitive-root.bril,148
adler32.bril,73
adj2csr.bril,112
csrmv.bril,214
dot-product.bril,64
major-elm.bril,54
max-subarray.bril,92
mat-mul.bril,108
fib.bril,37
vsmul.bril,50
quicksort-hoare.bril,156
quicksort.bril,116
two-sum.bril,103
eight-queens.bril,70
binary-search.bril,84
